###
# AVA Chat Engine is a chat bot API.
# 
# Copyright (C) 2015-2019  Asurion, LLC
# 
# AVA Chat Engine is free software: you can redistribute it and/or modify
# it under the terms of the GNU General Public License as published by
# the Free Software Foundation, either version 3 of the License, or
# (at your option) any later version.
# 
# AVA Chat Engine is distributed in the hope that it will be useful,
# but WITHOUT ANY WARRANTY; without even the implied warranty of
# MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
# GNU General Public License for more details.
# 
# You should have received a copy of the GNU General Public License
# along with AVA Chat Engine.  If not, see <https://www.gnu.org/licenses/>.
###
Model_Code,Make,Model,Display Name
lg-d855,lg,g2 d855,Lg G2 D855
lgls990,lg,g3,Lg G3
vs985 4g,lg,g3,Lg G3
unknownlgg4,lg,g4,Lg G4
unknownlgg5,lg,g5,Lg G5
vs840 4g,lg,lucid,Lg Lucid
vs870 4g,lg,lucid 2,Lg Lucid 2
vs876,lg,lucid 3,Lg Lucid 3
lg-ms770,lg,motion 4g,Lg Motion 4G
nexus 4,lg,nexus 4,Lg Nexus 4
nexus 5,lg,nexus 5,Lg Nexus 5
lg-d321,lg,optimus,Lg Optimus
lg-p990,lg,optimus 4,Lg Optimus 4
lg-p880,lg,optimus 4 x hd,Lg Optimus 4 X Hd
lgl39c,lg,optimus dynamic,Lg Optimus Dynamic
lg-vs450pp,lg,optimus exceed,Lg Optimus Exceed
vs840pp,lg,optimus exceed,Lg Optimus Exceed
lgms659,lg,optimus f3,Lg Optimus F3
lg-p875,lg,optimus f5,Lg Optimus F5
lgms500,lg,optimus f6,Lg Optimus F6
lgl34c,lg,optimus fuel,Lg Optimus Fuel
lg-e975,lg,optimus g,Lg Optimus G
lg-e980,lg,optimus g pro,Lg Optimus G Pro
lgms323,lg,optimus I70,Lg Optimus I70
lg-e430,lg,optimus l3,Lg Optimus L3
lg-e440,lg,optimus l4,Lg Optimus L4
lg-e610,lg,optimus l5,Lg Optimus L5
lg-p765,lg,optimus l9,Lg Optimus L9
lg-f320l,lg,optimus s g2,Lg Optimus S G2
vs415pp,lg,optimus zone 2,Lg Optimus Zone 2
lg-ku5400,lg,prada,Lg Prada
vs920 4g,lg,spectrum,Lg Spectrum
vs930 4g,lg,spectrum 2,Lg Spectrum 2
lg-ms870,lg,spirit 4g,Lg Spirit 4G
lg-p925,lg,thrill 4g,Lg Thrill 4G
lg-lg730,lg,venice,Lg Venice
lg-ls840,lg,viper,Lg Viper
lg-d631,lg,vista g,Lg Vista G
unknown467,lg,x5,Lg X5
unknown469,lg,x,Lg X
lgls740,lg,volt,Lg Volt
unknown245,lge,motion 4g,Lge Motion 4G
unknown268,lge,optimus zone 2,Lge Optimus Zone 2
unknown273,lge,spectrum,Lge Spectrum
